bathrooms,bedrooms,latitude,longitude,price,interest_level
1.0,2,40.7297,-74.00399999999998,3750,1
1.0,0,40.7717,-73.9518,2250,1
3.0,4,40.7957,-73.9705,6100,1
1.0,2,40.7401,-73.9822,2950,3
1.0,3,40.7594,-73.9712,4800,1
1.0,1,40.7061,-74.0111,4468,1
1.0,1,40.8713,-73.9148,1500,3
1.0,2,40.8266,-73.9398,1900,2
1.0,2,40.7803,-73.9466,2595,1
1.0,2,40.6661,-73.9882,2500,2
2.0,4,40.7035,-74.0109,6500,1
1.0,0,40.7437,-73.9851,4145,1
3.0,3,40.7454,-73.9776,11077,1
1.0,3,40.7192,-73.9828,4308,2
1.0,3,40.7067,-74.0101,3450,2
1.0,1,40.7334,-74.0047,6500,1
1.0,2,40.7348,-73.9865,3495,2
1.0,1,40.7779,-73.9515,3200,1
1.0,1,40.7658,-73.9171,1750,2
1.0,0,40.7638,-73.9941,2700,1
1.0,5,40.8025,-73.9587,6000,1
1.0,2,40.753,-73.9695,3095,2
1.0,1,40.7723,-73.9587,2600,2
2.0,4,40.7062,-74.0099,4820,2
1.0,3,40.7231,-74.0044,3625,2
1.0,2,40.7213,-73.9952,3995,1
2.0,3,40.8247,-73.949,2859,2
1.0,1,40.7105,-73.9532,2400,1
1.0,1,40.8013,-73.9606,2500,1
1.0,2,40.7104,-73.9486,2856,1
1.0,2,40.7079,-74.0099,3200,2
1.0,1,40.795,-73.9708,2500,2
2.0,3,40.7748,-73.9551,7000,1
1.0,2,40.731,-73.9831,3398,1
1.0,2,40.8031,-73.957,3000,1
1.0,2,40.7412,-73.9772,3000,2
1.0,2,40.7669,-73.9621,5450,1
2.0,3,40.7443,-73.9805,6000,2
3.0,4,40.7463,-73.9773,6250,2
1.0,2,40.7299,-73.9826,3000,1
2.0,2,40.728,-73.9832,3600,1
2.0,3,40.7676,-73.9601,4995,1
2.0,3,40.7548,-73.9944,4500,3
1.0,2,40.6455,-73.961,2475,1
1.0,0,40.7689,-73.9681,2850,1
1.0,2,40.7466,-73.9779,3500,1
1.0,0,40.7482,-74.0051,3485,1
0.0,1,40.7775,-73.9835,3950,1
1.0,0,40.7334,-74.0047,3395,1
1.0,2,40.7743,-73.9874,2625,1
2.0,2,40.7691,-73.9857,6800,1
1.0,2,40.7081,-74.0065,2500,2
2.0,2,40.7652,-73.9897,5500,1
1.0,1,40.7283,-73.9875,3370,2
1.0,1,40.743,-73.9805,3670,1
1.0,0,40.7989,-73.9535,1900,1
1.0,2,40.7678,-73.9915,3175,2
1.0,2,40.6905,-73.9668,3000,1
4.0,5,40.7739,-73.9529,9400,1
1.0,2,40.6692,-73.9503,2395,1
1.0,0,40.7568,-73.9982,2400,3
1.0,1,40.7299,-73.9819,2995,1
1.0,2,40.7039,-73.9425,2400,1
1.0,1,40.7593,-73.9959,3690,1
1.0,2,40.7537,-73.9682,2575,2
2.0,3,40.7376,-73.9738,5000,1
2.0,4,40.7061,-74.0111,5970,1
1.0,1,40.7331,-73.9972,3200,2
1.0,1,40.7587,-73.9838,2600,1
1.0,3,40.708,-74.0149,3300,3
1.0,0,40.8404,-73.9375,1500,3
1.0,2,40.844,-73.9414,2250,2
1.0,0,40.7678,-73.9869,1875,3
0.0,0,40.7295,-74.0029,3695,1
2.0,3,40.709,-74.0169,9600,1
1.5,3,40.7436,-73.9727,4617,1
2.0,2,40.694,-73.9828,4464,1
1.0,0,40.7512,-74.0026,3330,1
1.0,0,40.74800000000001,-73.98100000000002,3350,1
2.0,2,40.7324,-73.9875,5295,1
1.0,3,40.7177,-73.9907,3900,2
1.0,2,40.7806,-73.947,2700,2
1.0,2,40.7922,-73.9645,5595,1
2.0,3,40.7742,-73.9475,5100,1
2.0,3,40.7073,-74.0046,3880,2
1.0,1,40.7487,-73.9425,2950,1
1.0,1,40.8031,-73.957,2400,2
1.0,1,40.8152,-73.9473,2150,2
2.0,3,40.7786,-73.9478,4150,1
1.0,1,40.7535,-73.9742,2700,2
1.0,0,40.7559,-73.9649,2250,1
2.0,3,40.7324,-73.9875,4995,2
1.0,2,40.8342,-73.9427,1695,3
1.0,2,40.778,-73.9489,3050,1
1.0,1,40.7688,-73.9547,3200,1
1.0,3,40.6729,-73.9822,3650,2
2.0,3,40.7565,-73.9973,4437,1
1.0,1,40.7203,-73.9549,3400,1
1.0,0,40.7562,-73.9968,2550,1
1.0,2,40.6828,-73.9525,1975,3
2.0,3,40.7593,-73.9959,5070,2
1.0,2,40.7369,-73.979,3200,2
1.0,4,40.8242,-73.9527,3395,1
1.0,0,40.7835,-73.9827,2150,2
1.0,3,40.8226,-73.9527,3095,1
1.0,0,40.7803,-73.9496,1825,1
2.0,2,40.7074,-74.0069,5800,1
2.0,4,40.7612,-73.9978,5825,1
1.0,3,40.8221,-73.9538,2995,1
2.0,3,40.7787,-73.9453,5395,1
1.0,3,40.7695,-73.9603,5200,1
2.0,2,40.6814,-73.9485,3000,1
2.0,2,40.8441,-73.8292,2100,1
1.0,0,40.7716,-73.9506,2775,1
1.0,2,40.7988,-73.9356,2100,1
1.0,1,40.7404,-73.9795,3755,1
1.0,0,40.7466,-73.9788,2200,1
1.0,1,40.7716,-73.9506,3075,1
2.0,4,40.724,-73.9828,4900,3
1.0,2,40.7963,-73.9625,3400,1
2.0,4,40.7369,-73.979,4900,2
1.0,3,40.6769,-73.9249,2600,2
1.0,1,40.7571,-73.9673,1995,1
1.0,2,40.6853,-73.913,2195,2
2.0,2,40.7505,-74.0022,4200,2
1.0,1,40.7225,-73.9925,2700,1
1.0,1,40.7491,-73.9789,3500,1
1.0,2,40.8234,-73.9457,1900,2
2.0,3,40.7902,-73.9678,6000,1
1.0,2,40.7998,-73.9609,3500,1
2.0,3,40.7815,-73.9528,11500,1
1.0,3,40.6889,-73.9576,2799,3
1.0,0,40.7711,-73.9564,1775,1
1.0,0,40.7391,-73.9964,1999,3
1.0,4,40.7594,-73.9712,5400,3
1.0,2,40.6258,-73.9415,1850,2
1.0,1,40.7423,-73.98100000000002,2300,1
1.0,0,40.7562,-73.9968,2600,1
1.0,3,40.6754,-73.9182,2000,2
2.0,2,40.7609,-73.986,5350,1
1.0,1,40.7611,-73.9989,3800,1
1.0,1,40.8163,-73.9416,1850,1
1.0,1,40.7118,-73.8258,1695,2
1.0,3,40.7075,-74.0043,3495,2
1.0,0,40.7704,-73.9566,2895,1
1.0,2,40.7726,-73.926,3400,1
1.0,1,40.7637,-73.9635,3500,2
1.0,2,40.753,-73.9958,3000,1
1.0,1,40.7111,-74.0055,3630,1
1.0,1,40.7334,-74.0047,5100,1
1.0,2,40.7277,-73.9833,3695,1
1.0,1,40.7817,-73.9824,2750,1
1.0,1,40.73,-73.9804,2795,3
1.0,1,40.7592,-73.9948,4445,1
1.0,1,40.7473,-73.9736,2550,1
1.0,1,40.7239,-73.9947,3175,1
2.0,3,40.6913,-73.9825,4935,2
1.0,2,40.7984,-73.9682,2900,2
1.0,1,40.7718,-73.9829,4395,1
1.0,2,40.7074,-74.0069,2850,1
1.0,2,40.7547,-73.98100000000002,2295,3
1.0,1,40.7834,-73.9834,3200,2
1.0,0,40.7596,-73.9926,1900,1
1.0,0,40.8676,-73.8952,1250,3
1.0,1,40.6963,-73.9239,1950,2
2.0,4,40.7307,-73.9837,5800,3
1.0,0,40.7481,-73.97710000000002,2300,3
1.5,2,40.7283,-73.9875,4400,1
2.0,3,40.7553,-73.9955,4600,1
1.0,2,40.7177,-73.9984,3995,2
1.0,1,40.6402,-73.9567,1500,3
1.0,0,40.8514,-73.9347,1700,2
2.0,3,40.7568,-73.9982,4400,1
1.0,1,40.7072,-73.967,2100,1
2.0,3,40.7064,-74.01,5970,1
1.0,1,40.7783,-73.9804,3290,1
1.0,2,40.8087,-73.9598,3500,1
1.0,2,40.7747,-73.9506,3050,1
1.0,1,40.7632,-73.9907,2595,1
1.0,0,40.706,-74.0086,2350,2
1.0,0,40.7923,-73.97710000000002,2550,1
1.0,2,40.7286,-73.8487,2700,1
3.0,3,40.7739,-73.9528,6500,1
1.0,0,40.7067,-74.0072,2595,1
1.0,1,40.7688,-73.9576,2900,1
1.0,1,40.7606,-73.9963,3595,1
1.5,2,40.7802,-73.9444,4500,1
1.5,1,40.7067,-74.0101,3995,1
1.0,0,40.7767,-73.9456,1849,1
1.0,2,40.7297,-73.9794,3000,2
1.0,0,40.7796,-73.9528,2500,2
1.0,1,40.7613,-73.9998,3400,1
2.0,2,40.6764,-73.9578,3450,1
1.0,2,40.7367,-74.0014,4700,1
1.0,2,40.7255,-73.9798,3495,1
1.0,0,40.708,-74.0149,2449,3
1.0,1,40.7296,-73.9999,2650,1
1.0,1,40.7376,-73.9938,3680,2
2.0,4,40.7998,-73.9596,5250,1
1.0,2,40.7959,-73.9742,3000,2
1.0,2,40.7379,-73.9728,3550,1
1.0,1,40.7773,-73.9478,1995,1
1.0,1,40.764,-73.9819,3100,1
1.0,2,40.7749,-73.9532,2700,2
1.5,2,40.7447,-73.9782,4195,1
1.0,1,40.7225,-73.9925,2700,1
1.0,0,40.7951,-73.9676,2395,1
1.0,0,40.7074,-74.0122,3075,1
1.0,2,40.7436,-73.9727,3700,2
1.0,3,40.7983,-73.9416,2000,2
1.0,2,40.7604,-73.987,3100,1
2.0,4,40.7481,-73.9748,6200,2
1.0,0,40.7456,-73.9797,3195,1
1.0,0,40.7344,-74.001,2650,2
1.0,0,40.7465,-73.9767,2450,2
1.0,1,40.7401,-73.9887,4300,1
1.0,1,40.7766,-73.9452,2149,2
1.0,2,40.7272,-73.9801,3450,2
1.0,0,40.7634,-73.9638,2900,1
1.0,1,40.7401,-73.9815,3595,1
1.0,0,40.7461,-73.9776,2100,2
1.0,3,40.6821,-73.9801,3695,2
1.0,2,40.7265,-73.9851,4395,1
1.0,0,40.7756,-73.9846,2630,2
1.0,1,40.661,-73.9812,2250,1
1.0,1,40.7657,-73.8194,1500,2
1.0,1,40.841,-73.952,1700,2
