bathrooms,bedrooms,price,longitude,latitude,interest_level
1.0,1,3697,-73.9854,40.7619,1
2.0,2,5700,-73.9896,40.7341,3
1.0,2,3400,-73.9779,40.7413,2
1.0,1,2550,-73.9531,40.7351,1
1.0,2,3200,-73.9648,40.8028,1
2.0,3,6320,-74.0109,40.7196,1
1.0,1,2945,-73.9532,40.7777,1
2.0,2,4600,-74.0058,40.7087,1
2.0,2,7800,-73.9741,40.7924,1
2.0,2,7000,-73.9846,40.7756,1
1.0,2,3250,-74.0095,40.7054,2
1.0,0,1400,-73.8543,40.7108,3
1.0,1,3195,-73.9444,40.7802,1
1.0,1,1495,-73.9342,40.664,3
1.0,1,3850,-73.9863,40.7349,1
1.0,0,2625,-73.9626,40.7617,1
1.0,3,2500,-73.9381,40.8394,3
1.0,2,3095,-73.9715,40.7931,1
3.5,4,13500,-73.9538,40.7788,1
1.0,2,1700,-73.9259,40.6578,1
1.0,0,1850,-73.9541,40.769,2
1.0,2,2050,-73.9824,40.6633,3
1.0,1,4000,-73.9592,40.7762,1
1.0,0,1950,-73.9617,40.7604,1
1.0,1,2750,-73.9774,40.778,1
2.0,3,4900,-73.9803,40.7801,1
1.0,3,6500,-74.0052,40.7447,2
1.0,2,2300,-73.9982,40.6896,2
1.0,2,2350,-73.8519,40.7306,1
1.0,2,3900,-74.0016,40.7318,1
1.0,3,4000,-73.9712,40.7594,3
2.0,3,3850,-73.9572,40.74800000000001,2
1.0,1,3995,-73.9858,40.7681,1
1.0,2,2000,-74.0312,40.624,2
2.0,2,4823,-73.9548,40.7161,1
1.0,1,2700,-73.9577,40.7676,1
1.0,1,2695,-74.0046,40.7073,2
1.0,1,1800,-73.9617,40.5946,1
1.0,2,3295,-73.979,40.7426,1
1.0,0,1725,-73.9496,40.7793,1
1.0,1,2250,-73.9423,40.7216,1
1.0,1,2300,-73.9504,40.7802,1
1.0,1,3400,-74.0059,40.7128,1
1.0,2,3050,-73.9518,40.7763,1
1.5,2,6500,-73.9813,40.7676,1
2.0,2,3250,-73.9686,40.5757,1
2.0,2,5020,-73.9883,40.7777,1
1.0,2,3200,-73.9661,40.8034,1
1.0,1,2199,-73.9395,40.7133,2
1.0,2,1695,-73.9251,40.8678,3
1.0,1,2150,-73.9903,40.7592,1
2.0,2,6475,-73.9525,40.7779,1
1.0,1,2750,-74.01,40.7064,2
2.0,4,5300,-73.9878,40.7108,3
1.0,1,2195,-73.9794,40.7856,2
2.0,4,5900,-73.9812,40.7281,2
1.0,0,2500,-73.9817,40.7393,2
1.0,2,2750,-73.947,40.7736,1
1.0,1,3200,-73.9628,40.7633,2
1.0,0,2400,-73.9754,40.7444,2
2.0,3,2000,-73.7804,40.7796,3
1.0,2,3300,-73.9581,40.7697,2
1.0,0,3090,-74.0113,40.7075,1
1.0,3,4895,-73.9836,40.7264,2
1.0,2,5465,-73.9667,40.7947,1
1.0,3,2000,-73.9416,40.7983,2
1.0,0,2700,-73.9748,40.7481,1
1.0,1,2400,-73.9689,40.7993,1
1.0,3,4400,-73.9603,40.7694,1
1.0,1,2795,-73.9819,40.7299,2
1.0,2,2475,-73.9481,40.7751,1
2.0,2,5495,-73.9645,40.7922,1
1.0,0,2900,-73.9934,40.7366,2
2.0,3,3462,-73.9527,40.6896,1
2.0,1,8400,-74.0081,40.7324,1
1.0,1,3150,-73.9772,40.7412,1
1.0,0,2600,-73.9678,40.754,1
1.0,0,3995,-73.9965,40.7382,1
1.0,1,3600,-73.98,40.764,1
1.0,2,5400,-74.0039,40.7401,3
1.0,1,2983,-73.9564,40.7481,2
1.0,1,2400,-73.94800000000002,40.7723,2
1.0,3,13500,-73.9527,40.7681,1
1.0,0,1800,-73.9498,40.7777,1
1.0,1,2700,-73.9676,40.7951,3
1.0,1,2200,-73.9668,40.6905,1
1.0,1,3346,-73.9978,40.7612,1
2.0,3,6000,-73.9687,40.7906,1
1.0,2,2195,-73.9217,40.8666,1
1.0,1,5200,-73.9847,40.7692,1
2.0,3,4500,-74.0059,40.7075,2
2.0,3,2395,-73.9105,40.6812,2
1.0,1,2195,-73.54,41.0412,1
2.0,2,5200,-73.9596,40.7634,1
2.0,4,5800,-73.9837,40.7307,3
1.0,0,1975,-73.9878,40.7242,2
1.0,0,2750,-73.9868,40.7298,1
1.0,1,3750,-73.9781,40.7658,1
2.0,3,4555,-73.9944,40.7548,2
2.0,2,4890,-73.9585,40.7437,1
1.0,3,4595,-73.9984,40.7177,1
1.0,2,2800,-73.9579,40.76300000000001,1
1.0,1,1800,-73.9402,40.6663,2
1.0,1,3195,-73.9822,40.7406,1
1.0,1,2675,-73.9663,40.755,2
2.0,2,5450,-73.9956,40.7621,1
2.0,3,5000,-73.9803,40.7469,1
1.0,1,1675,-73.8272,40.7111,1
2.0,2,6200,-74.0148,40.7182,1
1.0,2,2500,-73.9486,40.8217,1
1.0,3,4750,-73.9835,40.7265,2
1.0,1,1700,-73.8792,40.7441,2
1.0,0,2850,-73.9681,40.7689,1
1.0,0,3035,-73.9914,40.7032,1
1.0,1,3100,-73.9751,40.7787,1
1.0,1,3195,-73.9851,40.7265,3
1.0,2,3450,-73.9789,40.7491,1
1.0,1,1895,-73.9496,40.7793,2
1.0,1,2600,-73.926,40.7726,1
1.0,1,3175,-73.9757,40.7462,1
1.0,1,2600,-74.0018,40.7346,1
1.0,2,3025,-74.0099,40.7062,1
1.0,1,3790,-73.9566,40.7704,1
1.0,2,4600,-73.9643,40.7616,1
1.0,3,4450,-73.9636,40.755,1
1.0,3,3200,-73.9907,40.7588,2
1.0,1,2769,-73.9822,40.6911,2
1.0,1,3800,-73.9806,40.7417,1
1.0,2,2595,-73.995,40.7603,1
1.0,1,3775,-73.9781,40.7658,1
1.0,2,1895,-73.9427,40.8342,1
2.0,3,4700,-73.987,40.7604,1
1.0,2,3495,-73.9754,40.746,1
1.0,1,2800,-73.9496,40.7771,1
1.0,1,3050,-73.9772,40.7412,1
2.0,3,2300,-73.9055,40.6577,1
1.0,1,2975,-73.9846,40.7637,1
1.0,2,3150,-74.0094,40.7095,2
2.5,3,15500,-73.9926,40.7425,1
1.0,2,3300,-74.0143,40.7088,1
2.0,3,8200,-73.9606,40.7722,1
1.0,2,3276,-73.9765,40.7489,2
1.0,4,5800,-73.9882,40.7274,3
1.0,1,4030,-74.0026,40.7512,1
1.0,1,3129,-73.9962,40.7593,2
1.5,3,4400,-73.9959,40.753,1
1.0,3,2950,-73.9611,40.8008,2
1.0,3,4899,-73.9837,40.7221,2
1.0,1,3195,-73.9876,40.731,1
1.0,0,2300,-73.9758,40.7928,2
1.0,2,3500,-73.9695,40.753,1
1.0,2,3250,-73.9826,40.7302,2
1.0,0,1350,-73.8288,40.7663,3
1.0,0,2500,-74.0089,40.7328,1
1.0,1,2450,-73.9674,40.7992,1
1.0,0,2400,-73.9694,40.7588,1
1.0,2,2800,-73.9687,40.756,2
1.0,0,2600,-73.9978,40.7612,1
2.0,3,5100,-73.986,40.7297,2
1.0,2,3600,-74.0,40.7444,1
1.0,1,1800,-73.9826,40.742,3
1.0,1,2300,-73.968,40.7976,1
1.0,1,2295,-73.9491,40.7836,1
1.0,1,3138,-73.9504,40.7868,1
1.0,3,3750,-73.9567,40.8035,1
1.0,2,3097,-74.0149,40.708,1
1.0,2,2495,-73.9465,40.7803,3
1.5,1,3400,-73.9777,40.7861,1
1.0,0,3156,-73.9914,40.7032,1
2.0,2,6500,-74.0055,40.7111,1
1.0,1,2830,-73.9828,40.7356,2
1.0,2,3400,-73.9839,40.7316,3
1.0,1,1475,-73.955,40.6167,3
0.0,0,2195,-74.0135,40.6503,1
1.0,0,1795,-73.9777,40.7852,3
1.0,2,2900,-73.94800000000002,40.7842,2
1.0,1,3250,-73.9785,40.7633,1
1.0,0,3125,-73.9859,40.7443,1
1.0,1,2695,-73.9757,40.7462,2
2.0,2,3000,-73.9668,40.6905,2
1.0,2,3995,-74.0058,40.7087,1
1.0,3,4725,-73.9831,40.7187,1
2.0,4,5800,-73.9732,40.7489,1
1.0,1,3795,-74.0055,40.7331,2
1.0,2,3695,-73.9819,40.7299,1
1.0,2,3100,-73.9767,40.7405,1
2.0,3,6150,-73.9812,40.7449,1
1.0,1,2550,-73.9483,40.7775,2
1.0,1,2700,-73.9706,40.7974,1
1.0,1,3570,-73.9849,40.7518,1
1.0,1,2800,-74.0308,40.727,1
1.0,1,2995,-73.9788,40.7421,1
1.0,0,2500,-73.961,40.7603,1
2.0,2,5795,-73.9887,40.7752,1
1.0,2,3460,-74.0065,40.7081,1
1.0,0,2000,-73.9621,40.759,2
1.0,0,2595,-74.0143,40.71,1
1.0,0,1950,-73.9796,40.7333,1
1.0,0,2350,-73.9764,40.7894,1
1.0,2,2999,-73.9794,40.7427,3
1.0,2,2500,-73.9744,40.7865,2
1.0,1,3160,-73.9564,40.7481,1
1.0,2,2000,-73.92,40.7033,1
1.0,0,2650,-73.9902,40.7238,1
1.0,0,3138,-74.0076,40.7047,1
1.0,2,3200,-73.9779,40.7466,1
1.0,1,3850,-73.9535,40.7838,1
1.0,2,2750,-73.9485,40.7705,1
1.0,0,1750,-73.9501,40.7706,2
1.0,4,3200,-73.9406,40.8441,1
1.0,1,3500,-73.9982,40.7568,1
1.0,2,3000,-73.9668,40.6905,1
1.0,2,5095,-73.9695,40.753,1
2.0,2,3850,-73.9552,40.8071,1
1.0,0,2280,-73.9782,40.7749,2
1.0,0,1850,-73.9617,40.6461,1
1.0,2,3450,-73.9864,40.7318,1
1.0,1,3250,-73.9785,40.7633,1
1.0,2,2900,-73.9583,40.6774,1
1.0,1,3350,-73.9849,40.7628,1
1.0,1,1995,-73.9793,40.6621,2
1.0,1,4195,-73.9935,40.7247,1
1.0,2,1900,-73.9532,40.8233,2
1.0,1,3850,-74.0094,40.7343,1
1.0,1,2495,-73.9907,40.7632,1
0.0,1,4475,-73.9863,40.745,1
1.0,0,1895,-73.9485,40.7705,1
1.0,1,2487,-73.97399999999998,40.6493,2
1.0,3,5100,-73.9485,40.7729,1
1.0,1,3640,-73.9864,40.7625,1
1.0,2,2100,-73.94,40.8222,1
1.0,2,3505,-73.9838,40.7586,2
1.0,3,2700,-73.9508,40.8246,1
0.0,0,2775,-73.9464,40.7805,1
1.0,0,2350,-73.9708,40.7974,1
1.0,2,2250,-73.9392,40.8021,2
1.0,0,2441,-73.9797,40.6898,2
1.0,1,4250,-74.0047,40.7334,1
1.0,1,2188,-73.9064,40.7735,2
1.0,0,1825,-73.9515,40.7771,1
1.0,1,2650,-73.99,40.7601,1
1.0,0,2190,-73.971,40.7863,1
1.0,0,2199,-73.9456,40.7767,1
2.0,2,3600,-73.9344,40.7669,2
1.0,1,4650,-74.0009,40.7338,1
1.0,2,2500,-73.8801,40.7494,1
1.0,3,2525,-73.9377,40.8419,1
1.0,1,4500,-74.008,40.7321,1
1.0,0,2100,-73.9461,40.779,1
1.0,1,2350,-73.986,40.7292,1
3.0,3,14000,-73.992,40.7381,1
1.0,0,1400,-73.8633,40.7369,1
1.0,1,2292,-73.9464,40.7222,1
2.0,3,5850,-73.9838,40.7316,2
1.0,0,1850,-73.9658,40.7559,1
1.0,1,3095,-73.969,40.7549,1
1.0,0,6650,-73.9991,40.7198,1
1.0,2,3295,-73.97399999999998,40.7446,1
2.0,2,7930,-73.9509,40.7826,1
1.0,1,2999,-73.9902,40.7238,2
1.0,0,2100,-73.9752,40.7854,2
2.0,2,4800,-74.0059,40.7075,1
1.0,2,3000,-73.9659,40.6736,2
1.0,2,2195,-73.9157,40.8063,3
1.0,1,2800,-73.97399999999998,40.7538,2
1.0,1,2599,-73.9514,40.7792,1
1.0,0,1850,-73.9638,40.7621,3
1.0,0,2575,-73.9759,40.7785,1
2.0,2,4083,-73.9827,40.6906,1
1.0,2,3600,-73.9799,40.764,1
1.0,0,2900,-74.0046,40.7073,1
1.0,1,1925,-73.9504,40.7802,1
1.0,1,3115,-73.9622,40.7582,2
1.0,2,7000,-73.9865,40.7348,1
1.0,2,2600,-73.9812,40.7409,2
2.0,2,4000,-73.9963,40.7606,1
1.0,1,2500,-73.9536,40.7775,1
1.0,2,3400,-74.0065,40.7081,1
1.0,2,3500,-73.9936,40.7616,1
1.0,1,4295,-73.9901,40.7487,2
2.0,4,3700,-73.9441,40.8365,1
1.0,1,2500,-73.9625,40.7993,1
1.0,2,3800,-73.9799,40.7635,1
1.0,2,3950,-73.9709,40.7528,1
1.0,3,4600,-73.955,40.7087,1
1.0,1,2600,-74.0018,40.7346,2
1.0,1,2300,-73.9749,40.7885,1
1.0,2,2400,-73.9615,40.6882,2
1.0,2,3100,-73.9982,40.7568,2
1.0,1,2995,-73.9846,40.7756,3
1.0,1,2030,-73.9216,40.7416,1
1.0,1,3940,-73.9964,40.7562,1
1.0,1,1500,-73.9181,40.8064,3
1.0,0,2350,-73.9757,40.7462,2
1.0,3,4300,-73.9893,40.7295,1
1.0,0,3381,-73.9854,40.7619,1
2.0,2,5495,-74.0042,40.7373,1
1.0,2,3495,-73.9774,40.7447,2
2.0,2,7000,-73.9994,40.7606,1
3.0,5,11257,-74.0008,40.7084,1
1.0,0,2000,-73.9846,40.6629,2
2.0,2,13000,-73.9812,40.7716,1
1.0,2,3500,-73.9505,40.7165,1
1.0,0,2100,-73.9533,40.771,1
3.0,3,15000,-73.9819,40.7725,1
1.0,2,3300,-73.9798,40.7239,1
1.0,2,2400,-73.90899999999998,40.7787,1
1.0,3,2850,-73.9486,40.8309,1
1.0,3,2500,-73.9129,40.7579,1
1.0,2,3500,-73.9992,40.7284,3
1.0,0,2600,-73.9817,40.7655,1
1.0,0,2800,-73.9971,40.7439,1
1.0,1,4595,-73.9861,40.7719,1
2.0,3,3500,-74.0059,40.7847,1
1.0,4,4500,-74.0149,40.708,3
1.0,1,4150,-73.9927,40.7301,1
1.0,1,3495,-73.9946,40.7233,1
1.0,2,3450,-73.9689,40.7602,2
2.0,3,7500,-73.9845,40.7454,1
1.0,0,2650,-73.9563,40.7681,1
1.0,1,3312,-73.9915,40.7678,2
1.0,1,4395,-73.9887,40.7401,1
1.0,1,3800,-73.9931,40.7327,1
1.0,2,5000,-74.0035,40.7396,1
1.0,2,3200,-73.9216,40.6907,1
1.0,2,1695,-73.9052,40.86,1
1.0,2,3025,-73.9488,40.7972,1
1.0,1,1575,-73.9318,40.8539,2
1.0,1,2425,-73.9488,40.7699,1
2.0,3,7000,-73.9964,40.7624,1
1.0,1,2750,-73.929,40.7404,1
2.0,2,4975,-73.986,40.6927,1
2.0,2,5400,-73.9781,40.7658,1
1.0,1,5985,-73.97800000000002,40.7351,1
1.0,1,1395,-73.8676,40.7365,3
1.0,0,1995,-73.9694,40.7988,1
2.0,3,4900,-73.9958,40.753,1
1.0,3,2975,-73.9421,40.7864,1
1.0,0,2275,-73.968,40.7976,1
1.0,0,2525,-74.0006,40.7383,2
1.0,1,2850,-73.9617,40.7617,1
1.0,2,3750,-74.00399999999998,40.7297,1
1.0,0,2250,-73.9518,40.7717,1
3.0,4,6100,-73.9705,40.7957,1
1.0,2,2950,-73.9822,40.7401,3
1.0,3,4800,-73.9712,40.7594,1
1.0,1,4468,-74.0111,40.7061,1
1.0,1,1500,-73.9148,40.8713,3
1.0,2,1900,-73.9398,40.8266,2
1.0,2,2595,-73.9466,40.7803,1
1.0,2,2500,-73.9882,40.6661,2
2.0,4,6500,-74.0109,40.7035,1
1.0,0,4145,-73.9851,40.7437,1
3.0,3,11077,-73.9776,40.7454,1
1.0,3,4308,-73.9828,40.7192,2
1.0,3,3450,-74.0101,40.7067,2
1.0,1,6500,-74.0047,40.7334,1
1.0,2,3495,-73.9865,40.7348,2
1.0,1,3200,-73.9515,40.7779,1
1.0,1,1750,-73.9171,40.7658,2
1.0,0,2700,-73.9941,40.7638,1
1.0,5,6000,-73.9587,40.8025,1
1.0,2,3095,-73.9695,40.753,2
1.0,1,2600,-73.9587,40.7723,2
2.0,4,4820,-74.0099,40.7062,2
1.0,3,3625,-74.0044,40.7231,2
1.0,2,3995,-73.9952,40.7213,1
2.0,3,2859,-73.949,40.8247,2
1.0,1,2400,-73.9532,40.7105,1
1.0,1,2500,-73.9606,40.8013,1
1.0,2,2856,-73.9486,40.7104,1
1.0,2,3200,-74.0099,40.7079,2
1.0,1,2500,-73.9708,40.795,2
2.0,3,7000,-73.9551,40.7748,1
1.0,2,3398,-73.9831,40.731,1
1.0,2,3000,-73.957,40.8031,1
1.0,2,3000,-73.9772,40.7412,2
1.0,2,5450,-73.9621,40.7669,1
2.0,3,6000,-73.9805,40.7443,2
3.0,4,6250,-73.9773,40.7463,2
1.0,2,3000,-73.9826,40.7299,1
2.0,2,3600,-73.9832,40.728,1
2.0,3,4995,-73.9601,40.7676,1
2.0,3,4500,-73.9944,40.7548,3
1.0,2,2475,-73.961,40.6455,1
1.0,0,2850,-73.9681,40.7689,1
1.0,2,3500,-73.9779,40.7466,1
1.0,0,3485,-74.0051,40.7482,1
0.0,1,3950,-73.9835,40.7775,1
1.0,0,3395,-74.0047,40.7334,1
1.0,2,2625,-73.9874,40.7743,1
2.0,2,6800,-73.9857,40.7691,1
1.0,2,2500,-74.0065,40.7081,2
2.0,2,5500,-73.9897,40.7652,1
1.0,1,3370,-73.9875,40.7283,2
1.0,1,3670,-73.9805,40.743,1
1.0,0,1900,-73.9535,40.7989,1
1.0,2,3175,-73.9915,40.7678,2
1.0,2,3000,-73.9668,40.6905,1
4.0,5,9400,-73.9529,40.7739,1
1.0,2,2395,-73.9503,40.6692,1
1.0,0,2400,-73.9982,40.7568,3
1.0,1,2995,-73.9819,40.7299,1
1.0,2,2400,-73.9425,40.7039,1
1.0,1,3690,-73.9959,40.7593,1
1.0,2,2575,-73.9682,40.7537,2
2.0,3,5000,-73.9738,40.7376,1
2.0,4,5970,-74.0111,40.7061,1
1.0,1,3200,-73.9972,40.7331,2
1.0,1,2600,-73.9838,40.7587,1
1.0,3,3300,-74.0149,40.708,3
1.0,0,1500,-73.9375,40.8404,3
1.0,2,2250,-73.9414,40.844,2
1.0,0,1875,-73.9869,40.7678,3
0.0,0,3695,-74.0029,40.7295,1
2.0,3,9600,-74.0169,40.709,1
1.5,3,4617,-73.9727,40.7436,1
2.0,2,4464,-73.9828,40.694,1
1.0,0,3330,-74.0026,40.7512,1
1.0,0,3350,-73.98100000000002,40.74800000000001,1
2.0,2,5295,-73.9875,40.7324,1
1.0,3,3900,-73.9907,40.7177,2
1.0,2,2700,-73.947,40.7806,2
1.0,2,5595,-73.9645,40.7922,1
2.0,3,5100,-73.9475,40.7742,1
2.0,3,3880,-74.0046,40.7073,2
1.0,1,2950,-73.9425,40.7487,1
1.0,1,2400,-73.957,40.8031,2
1.0,1,2150,-73.9473,40.8152,2
2.0,3,4150,-73.9478,40.7786,1
1.0,1,2700,-73.9742,40.7535,2
1.0,0,2250,-73.9649,40.7559,1
2.0,3,4995,-73.9875,40.7324,2
1.0,2,1695,-73.9427,40.8342,3
1.0,2,3050,-73.9489,40.778,1
1.0,1,3200,-73.9547,40.7688,1
1.0,3,3650,-73.9822,40.6729,2
2.0,3,4437,-73.9973,40.7565,1
1.0,1,3400,-73.9549,40.7203,1
1.0,0,2550,-73.9968,40.7562,1
1.0,2,1975,-73.9525,40.6828,3
2.0,3,5070,-73.9959,40.7593,2
1.0,2,3200,-73.979,40.7369,2
1.0,4,3395,-73.9527,40.8242,1
1.0,0,2150,-73.9827,40.7835,2
1.0,3,3095,-73.9527,40.8226,1
1.0,0,1825,-73.9496,40.7803,1
2.0,2,5800,-74.0069,40.7074,1
2.0,4,5825,-73.9978,40.7612,1
1.0,3,2995,-73.9538,40.8221,1
2.0,3,5395,-73.9453,40.7787,1
1.0,3,5200,-73.9603,40.7695,1
2.0,2,3000,-73.9485,40.6814,1
2.0,2,2100,-73.8292,40.8441,1
1.0,0,2775,-73.9506,40.7716,1
1.0,2,2100,-73.9356,40.7988,1
1.0,1,3755,-73.9795,40.7404,1
1.0,0,2200,-73.9788,40.7466,1
1.0,1,3075,-73.9506,40.7716,1
2.0,4,4900,-73.9828,40.724,3
1.0,2,3400,-73.9625,40.7963,1
2.0,4,4900,-73.979,40.7369,2
1.0,3,2600,-73.9249,40.6769,2
1.0,1,1995,-73.9673,40.7571,1
1.0,2,2195,-73.913,40.6853,2
2.0,2,4200,-74.0022,40.7505,2
1.0,1,2700,-73.9925,40.7225,1
1.0,1,3500,-73.9789,40.7491,1
1.0,2,1900,-73.9457,40.8234,2
2.0,3,6000,-73.9678,40.7902,1
1.0,2,3500,-73.9609,40.7998,1
2.0,3,11500,-73.9528,40.7815,1
1.0,3,2799,-73.9576,40.6889,3
1.0,0,1775,-73.9564,40.7711,1
1.0,0,1999,-73.9964,40.7391,3
1.0,4,5400,-73.9712,40.7594,3
1.0,2,1850,-73.9415,40.6258,2
1.0,1,2300,-73.98100000000002,40.7423,1
1.0,0,2600,-73.9968,40.7562,1
1.0,3,2000,-73.9182,40.6754,2
2.0,2,5350,-73.986,40.7609,1
1.0,1,3800,-73.9989,40.7611,1
1.0,1,1850,-73.9416,40.8163,1
1.0,1,1695,-73.8258,40.7118,2
1.0,3,3495,-74.0043,40.7075,2
1.0,0,2895,-73.9566,40.7704,1
1.0,2,3400,-73.926,40.7726,1
1.0,1,3500,-73.9635,40.7637,2
1.0,2,3000,-73.9958,40.753,1
1.0,1,3630,-74.0055,40.7111,1
1.0,1,5100,-74.0047,40.7334,1
1.0,2,3695,-73.9833,40.7277,1
1.0,1,2750,-73.9824,40.7817,1
1.0,1,2795,-73.9804,40.73,3
1.0,1,4445,-73.9948,40.7592,1
1.0,1,2550,-73.9736,40.7473,1
1.0,1,3175,-73.9947,40.7239,1
2.0,3,4935,-73.9825,40.6913,2
1.0,2,2900,-73.9682,40.7984,2
1.0,1,4395,-73.9829,40.7718,1
1.0,2,2850,-74.0069,40.7074,1
1.0,2,2295,-73.98100000000002,40.7547,3
1.0,1,3200,-73.9834,40.7834,2
1.0,0,1900,-73.9926,40.7596,1
1.0,0,1250,-73.8952,40.8676,3
1.0,1,1950,-73.9239,40.6963,2
2.0,4,5800,-73.9837,40.7307,3
1.0,0,2300,-73.97710000000002,40.7481,3
1.5,2,4400,-73.9875,40.7283,1
2.0,3,4600,-73.9955,40.7553,1
1.0,2,3995,-73.9984,40.7177,2
1.0,1,1500,-73.9567,40.6402,3
1.0,0,1700,-73.9347,40.8514,2
2.0,3,4400,-73.9982,40.7568,1
1.0,1,2100,-73.967,40.7072,1
2.0,3,5970,-74.01,40.7064,1
1.0,1,3290,-73.9804,40.7783,1
1.0,2,3500,-73.9598,40.8087,1
1.0,2,3050,-73.9506,40.7747,1
1.0,1,2595,-73.9907,40.7632,1
1.0,0,2350,-74.0086,40.706,2
1.0,0,2550,-73.97710000000002,40.7923,1
1.0,2,2700,-73.8487,40.7286,1
3.0,3,6500,-73.9528,40.7739,1
1.0,0,2595,-74.0072,40.7067,1
1.0,1,2900,-73.9576,40.7688,1
1.0,1,3595,-73.9963,40.7606,1
1.5,2,4500,-73.9444,40.7802,1
1.5,1,3995,-74.0101,40.7067,1
1.0,0,1849,-73.9456,40.7767,1
1.0,2,3000,-73.9794,40.7297,2
1.0,0,2500,-73.9528,40.7796,2
1.0,1,3400,-73.9998,40.7613,1
2.0,2,3450,-73.9578,40.6764,1
1.0,2,4700,-74.0014,40.7367,1
1.0,2,3495,-73.9798,40.7255,1
1.0,0,2449,-74.0149,40.708,3
1.0,1,2650,-73.9999,40.7296,1
1.0,1,3680,-73.9938,40.7376,2
2.0,4,5250,-73.9596,40.7998,1
1.0,2,3000,-73.9742,40.7959,2
1.0,2,3550,-73.9728,40.7379,1
1.0,1,1995,-73.9478,40.7773,1
1.0,1,3100,-73.9819,40.764,1
1.0,2,2700,-73.9532,40.7749,2
1.5,2,4195,-73.9782,40.7447,1
1.0,1,2700,-73.9925,40.7225,1
1.0,0,2395,-73.9676,40.7951,1
1.0,0,3075,-74.0122,40.7074,1
1.0,2,3700,-73.9727,40.7436,2
1.0,3,2000,-73.9416,40.7983,2
1.0,2,3100,-73.987,40.7604,1
2.0,4,6200,-73.9748,40.7481,2
1.0,0,3195,-73.9797,40.7456,1
1.0,0,2650,-74.001,40.7344,2
1.0,0,2450,-73.9767,40.7465,2
1.0,1,4300,-73.9887,40.7401,1
1.0,1,2149,-73.9452,40.7766,2
1.0,2,3450,-73.9801,40.7272,2
1.0,0,2900,-73.9638,40.7634,1
1.0,1,3595,-73.9815,40.7401,1
1.0,0,2100,-73.9776,40.7461,2
1.0,3,3695,-73.9801,40.6821,2
1.0,2,4395,-73.9851,40.7265,1
1.0,0,2630,-73.9846,40.7756,2
1.0,1,2250,-73.9812,40.661,1
1.0,1,1500,-73.8194,40.7657,2
1.0,1,1700,-73.952,40.841,2
